,OECD전체,미국,한국
2011년 5월,102.3,102.8,100.6
2011년 6월,101.9,102.4,100.1
2011년 7월,101.4,102,99.5
2011년 8월,100.9,101.5,98.9
2011년 9월,100.4,101.2,98.3
