,OECD전체 ,미국 ,한국 
2008년 12월,93.6,92.6,91.2
2009년 1월,92.9,91.5,92.5
2009년 2월,92.6,90.9,94.3
2009년 3월,92.7,90.7,96.5
2009년 4월,93.2,90.9,99
