,OECD전체,미국,한국
2017년 12월,100.2,99.9,100.1
2018년 1월,100.1,100,100
2018년 2월,100.1,100.1,99.9
2018년 3월,100,100.2,99.7
2018년 4월,99.9,100.2,99.5
