,OECD전체 ,미국 ,한국 
2009년 3월,92.9,90.9,94.8
2009년 4월,93.7,91.5,96.7
2009년 5월,94.9,92.8,98.4
2009년 6월,96.3,94.4,99.9
2009년 7월,97.8,96,101.2
