,OECD전체 ,미국 ,한국 
2009년 12월,101.7,100.4,105.2
2010년 1월,102.4,101.3,105
2010년 2월,103,102.2,104.6
2010년 3월,103.6,103,104.2
2010년 4월,104,103.6,103.6
