,OECD전체,미국,한국
2018년 1월,100.2,100,100
2018년 2월,100.1,100.1,99.9
2018년 3월,100,100.2,99.8
2018년 4월,100,100.2,99.6
2018년 5월,99.9,100.2,99.5
