,OECD전체 ,미국 ,한국 
2009년 7월,97.7,96.1,99.1
2009년 8월,99,97.5,99.7
2009년 9월,100.3,98.7,100.1
2009년 10월,101.4,99.8,100.3
2009년 11월,102.3,100.9,100.4
