,OECD전체 ,미국 ,한국 
2009년 6월,96.4,94.9,98.5
2009년 7월,97.8,96.3,99.5
2009년 8월,99.2,97.6,100.2
2009년 9월,100.4,98.8,100.6
2009년 10월,101.4,99.8,100.9
