,OECD전체 ,미국 ,한국 
2010년 2월,102.8,102.2,104.2
2010년 3월,103.2,102.7,103.9
2010년 4월,103.4,103.1,103.6
2010년 5월,103.5,103.1,103.5
2010년 6월,103.4,103,103.5
