,OECD전체,미국,한국
2011년 4월,102.7,103.2,100.8
2011년 5월,102.3,103,100.4
2011년 6월,101.9,102.6,100
2011년 7월,101.4,102.1,99.4
2011년 8월,100.8,101.5,98.8
