,OECD전체,미국,한국
2012년 10월,100,100.5,100
2012년 11월,100.1,100.7,100.2
2012년 12월,100.2,100.9,100.4
2013년 1월,100.4,101,100.6
2013년 2월,100.5,101.2,100.8
