,OECD전체,미국,한국
2015년 6월,100.1,99.7,101.2
2015년 7월,100,99.6,101.2
2015년 8월,99.9,99.4,101.2
2015년 9월,99.8,99.2,101.3
2015년 10월,99.8,99.1,101.3
