,OECD전체,미국,한국
2010년 7월,102.3,101.6,102.6
2010년 8월,102.3,101.6,102.3
2010년 9월,102.4,101.8,101.9
2010년 10월,102.6,102.2,101.4
2010년 11월,102.8,102.7,101.1
