,OECD전체,미국,한국
2019년 6월,99.2,99,99
2019년 7월,99.2,98.9,98.9
2019년 8월,99.1,98.8,98.9
2019년 9월,99.1,98.8,98.9
2019년 10월,99.1,98.9,98.9
