,OECD전체 ,미국 ,한국 
2009년 9월,99.9,98.4,105.3
2009년 10월,101,99.4,105.8
2009년 11월,101.9,100.5,106.2
2009년 12월,102.8,101.4,106.5
2010년 1월,103.6,102.3,106.8
