,OECD전체,미국,한국
2019년 7월,99.2,99,98.9
2019년 8월,99.2,98.9,98.9
2019년 9월,99.2,98.9,98.9
2019년 10월,99.2,98.9,99
2019년 11월,99.3,98.9,99.1
