,OECD전체,미국,한국
2014년 10월,100.3,100.4,100.9
2014년 11월,100.3,100.3,101.2
2014년 12월,100.3,100.2,101.5
2015년 1월,100.3,100.1,101.8
2015년 2월,100.3,100,102
