,OECD전체,미국,한국
2015년 9월,99.9,99.5,101.1
2015년 10월,99.9,99.3,101.2
2015년 11월,99.8,99.2,101.2
2015년 12월,99.7,99,101.2
2016년 1월,99.6,98.9,101.2
