,OECD전체,미국,한국
2008년 7월,98.4,98.1,97.3
2008년 8월,97.4,97,96.6
2008년 9월,96.3,95.6,95.7
2008년 10월,95.1,93.9,95.1
2008년 11월,93.8,92.2,94.4
