,OECD전체,미국,한국
2008년 2월,98.7,99,101.9
2008년 3월,98.1,98.3,101.6
2008년 4월,97.8,98.2,100.1
2008년 5월,97.4,98,98.2
2008년 6월,96.8,97.7,94
