,OECD전체,미국,한국
2009년 2월,92.7,91,93.2
2009년 3월,92.9,91.1,95
2009년 4월,93.5,91.5,97
2009년 5월,94.5,92.7,98.9
2009년 6월,95.7,93.9,100.7
