,OECD전체 ,미국 ,한국
2010년 6월,102.6,102,103.1
2010년 7월,102.5,101.9,102.7
2010년 8월,102.5,101.9,102.3
2010년 9월,102.5,102,101.8
2010년 10월,102.6,102.3,101.3
