,OECD전체 ,미국 ,한국 
2009년 8월,99,97.3,104.7
2009년 9월,100.2,98.5,105.4
2009년 10월,101.3,99.6,105.9
2009년 11월,102.2,100.5,106.3
2009년 12월,103.1,101.5,106.6
