,OECD전체 ,미국 ,한국 
2010년 5월,102.9,102.4,103.4
2010년 6월,102.8,102.3,103.1
2010년 7월,102.8,102.3,102.7
2010년 8월,102.8,102.3,102.4
2010년 9월,102.8,102.4,101.9
