,OECD전체,미국,한국
2011년 7월,101.2,101.6,100.1
2011년 8월,100.7,101.2,99.4
2011년 9월,100.4,101,98.7
2011년 10월,100.2,101,97.9
2011년 11월,100.1,101.2,97.2
