,OECD전체,미국,한국
2015년 4월,100.2,99.9,101.4
2015년 5월,100.2,99.8,101.4
2015년 6월,100.1,99.6,101.4
2015년 7월,100,99.5,101.3
2015년 8월,99.9,99.2,101.3
