,OECD전체 ,미국 ,한국 
2009년 11월,101,99.6,105.4
2009년 12월,101.9,100.6,105.4
2010년 1월,102.6,101.6,105.1
2010년 2월,103.3,102.5,104.6
2010년 3월,103.9,103.3,104
