,OECD전체,미국,한국
2020년 2월,99.5,99.4,99.6
2020년 3월,98,97.8,99.6
2020년 4월,93.8,93.1,99.5
2020년 5월,95.3,94.3,99.5
2020년 6월,97.1,95.7,99.6
