,OECD전체 ,미국 ,한국 
2009년 4월,93.5,91.4,96.2
2009년 5월,94.8,92.8,97.8
2009년 6월,96.2,94.3,99.1
2009년 7월,97.7,95.9,100.1
2009년 8월,99.2,97.4,101
