,OECD전체,미국,한국
2012년 8월,100.1,100.5,100.1
2012년 9월,100.1,100.6,100.3
2012년 10월,100.2,100.8,100.5
2012년 11월,100.3,100.9,100.7
2012년 12월,100.4,101,101
