,OECD전체,미국,한국
2018년 6월,99.9,100,99.7
2018년 7월,99.8,100,99.5
2018년 8월,99.6,99.9,99.4
2018년 9월,99.5,99.8,99.2
2018년 10월,99.4,99.7,99.1
