,OECD전체 ,미국 ,한국 
2009년 10월,100.4,98.8,105.1
2009년 11월,101.3,99.8,105.3
2009년 12월,102.2,100.8,105.4
2010년 1월,102.9,101.8,105.3
2010년 2월,103.6,102.7,105.1
