,OECD전체,미국,한국
2018년 12월,99.4,99.5,99.2
2019년 1월,99.3,99.3,99.2
2019년 2월,99.2,99.1,99.1
2019년 3월,99.1,99,98.9
2019년 4월,99,98.9,98.8
