,OECD전체,미국,한국
2015년 8월,100,99.6,101
2015년 9월,99.9,99.4,101.1
2015년 10월,99.8,99.3,101.2
2015년 11월,99.8,99.1,101.3
2015년 12월,99.7,98.9,101.4
