,OECD전체,미국,한국
2008년 9월,97,96.5,95.5
2008년 10월,95.7,94.8,95.1
2008년 11월,94.4,93.1,94.9
2008년 12월,93.3,91.5,95
2009년 1월,92.3,90.1,95.5
