,OECD전체,미국,한국
2016년 11월,99.9,99.4,100.6
2016년 12월,100,99.6,100.7
2017년 1월,100,99.7,100.7
2017년 2월,100.1,99.8,100.8
2017년 3월,100.1,99.8,100.8
