,OECD전체,미국,한국
2008년 11월,94.6,94.1,90.8
2008년 12월,93.5,92.6,91.4
2009년 1월,92.8,91.3,92.7
2009년 2월,92.4,90.5,94.6
2009년 3월,92.2,89.9,96.8
