,OECD전체 ,미국 ,한국 
2009년 1월,92.9,91.6,91.9
2009년 2월,92.6,91,93.5
2009년 3월,92.7,90.9,95.5
2009년 4월,93.2,91.2,97.6
2009년 5월,94,92.2,99.8
