,OECD전체,미국,한국
2011년 8월,100.5,100.6,99.4
2011년 9월,100.2,100.5,98.8
2011년 10월,100.1,100.8,98.2
2011년 11월,100.2,101.3,97.6
2011년 12월,100.4,102,97.2
,,,
