,OECD전체 ,미국 ,한국 
2009년 5월,95.1,93.5,97.5
2009년 6월,96.5,94.9,98.8
2009년 7월,97.9,96.3,99.9
2009년 8월,99.3,97.8,100.8
2009년 9월,100.6,99.2,101.5
