,OECD전체 ,미국 ,한국 
2010년 4월,103,102.7,103.6
2010년 5월,103.1,102.7,103.3
2010년 6월,103,102.6,103.1
2010년 7월,103,102.4,102.8
2010년 8월,102.9,102.3,102.5
