,OECD전체,미국,한국
2011년 12월,100.2,100.6,99.3
2012년 1월,100.3,100.9,99.4
2012년 2월,100.4,101.1,99.7
2012년 3월,100.4,101.2,99.9
2012년 4월,100.5,101.2,100.1
