,OECD전체,미국,한국
2018년 5월,100,100.1,99.8
2018년 6월,99.9,100,99.6
2018년 7월,99.8,100,99.5
2018년 8월,99.6,99.9,99.3
2018년 9월,99.5,99.9,99.1
