,OECD전체,미국,한국
2008년 3월,98.2,98.4,102
2008년 4월,97.8,98.3,100.6
2008년 5월,97.4,98.2,98
2008년 6월,96.9,98.1,93.4
2008년 7월,96.2,97.9,87.2
