,OECD전체,미국,한국
2008년 10월,95.9,95.7,91.1
2008년 11월,94.6,94,91.1
2008년 12월,93.5,92.3,91.7
2009년 1월,92.7,91,92.9
2009년 2월,92,89.9,94.5
