,OECD전체 ,미국 ,한국 
2010년 1월,102.3,101.3,104.9
2010년 2월,102.9,102.1,104.5
2010년 3월,103.3,102.7,104.1
2010년 4월,103.6,103.2,103.8
2010년 5월,103.7,103.4,103.4
