,OECD전체,미국,한국
2020년 1월,99.5,99.4,99.6
2020년 2월,99.5,99.4,99.6
2020년 3월,98,97.8,99.7
2020년 4월,94.2,93.9,99.8
2020년 5월,95.7,94.8,100
