,OECD전체,미국,한국
2018년 2월,100.1,100.1,100
2018년 3월,100,100.1,99.8
2018년 4월,99.9,100,99.6
2018년 5월,99.8,99.9,99.4
2018년 6월,99.7,99.8,99.2
