Date,MXWO Index
1996-10-01,788.89
1996-10-02,792.3
1996-10-03,790.54
1996-10-04,793.72
1996-10-07,795.72
1996-10-08,793.74
1996-10-09,789.27
1996-10-10,787.49
1996-10-11,791.87
1996-10-14,795.28
1996-10-15,797.93
1996-10-16,797.64
1996-10-17,799.25
1996-10-18,803.45
1996-10-21,801.72
1996-10-22,798.41
1996-10-23,796.29
1996-10-24,792.76
1996-10-25,790.46
1996-10-28,788.82
1996-10-29,790.44
1996-10-30,790.59
1996-10-31,791.75
1996-11-01,791.75
1996-11-04,793.77
1996-11-05,797.93
1996-11-06,807.72
1996-11-07,810.55
1996-11-08,814.9
1996-11-11,816.1
1996-11-12,816.47
1996-11-13,815.86
1996-11-14,820.71
1996-11-15,823.38
1996-11-18,822.1
1996-11-19,826.29
1996-11-20,829.65
1996-11-21,829.14
1996-11-22,834.03
1996-11-25,837.22
1996-11-26,836.78
1996-11-27,834.96
1996-11-28,833.62
1996-11-29,834.93
1996-12-02,831.64
1996-12-03,824.39
1996-12-04,822.14
1996-12-05,824.38
1996-12-06,813.43
1996-12-09,821.62
1996-12-10,823.53
1996-12-11,816.11
1996-12-12,807.85
1996-12-13,803.55
1996-12-16,803.32
1996-12-17,805.85
1996-12-18,807.8
1996-12-19,812.96
1996-12-20,818.75
1996-12-23,818.89
1996-12-24,817.31
1996-12-25,817.31
1996-12-26,820.94
1996-12-27,823.24
1996-12-30,824.14
1996-12-31,820.36
1997-01-01,820.36
1997-01-02,814.04
1997-01-03,819.42
1997-01-06,821.42
1997-01-07,822.56
1997-01-08,818.68
1997-01-09,817.47
1997-01-10,813.18
1997-01-13,819.09
1997-01-14,825.74
1997-01-15,826.63
1997-01-16,830.55
1997-01-17,831.38
1997-01-20,826.73
1997-01-21,827.19
1997-01-22,831.91
1997-01-23,826.05
1997-01-24,819.93
1997-01-27,812.6
1997-01-28,812.42
1997-01-29,816.81
1997-01-30,822.31
1997-01-31,829.08
1997-02-03,828.51
1997-02-04,830.78
1997-02-05,824.65
1997-02-06,824.75
1997-02-07,828.03
1997-02-10,831.72
1997-02-11,832.55
1997-02-12,839.14
1997-02-13,844.72
1997-02-14,844.62
1997-02-17,843.48
1997-02-18,846.05
1997-02-19,844.57
1997-02-20,843.42
1997-02-21,844.53
1997-02-24,850.98
1997-02-25,854.37
1997-02-26,847.88
1997-02-27,843.72
1997-02-28,837.44
1997-03-03,837.4
1997-03-04,837
1997-03-05,841.53
1997-03-06,840.19
1997-03-07,843.95
1997-03-10,851.06
1997-03-11,851.47
1997-03-12,844
1997-03-13,833
1997-03-14,835.47
1997-03-17,833.19
1997-03-18,831.88
1997-03-19,830.81
1997-03-20,822.93
1997-03-21,827.88
1997-03-24,828.41
1997-03-25,831.75
1997-03-26,835.4
1997-03-27,828.87
1997-03-28,828.22
1997-03-31,819.68
1997-04-01,813.7
1997-04-02,809.64
1997-04-03,807.54
1997-04-04,809.35
1997-04-07,809.51
1997-04-08,812.37
1997-04-09,808.7
1997-04-10,805.8
1997-04-11,794.92
1997-04-14,794.55
1997-04-15,804.3
1997-04-16,811.73
1997-04-17,813.21
1997-04-18,817.93
1997-04-21,819.4
1997-04-22,825.58
1997-04-23,828.21
1997-04-24,827.33
1997-04-25,820.51
1997-04-28,823.5
1997-04-29,837.49
1997-04-30,845.28
1997-05-01,847.25
1997-05-02,856.04
1997-05-05,866.09
1997-05-06,874.87
1997-05-07,869.28
1997-05-08,872.91
1997-05-09,879.06
1997-05-12,892.28
1997-05-13,892.09
1997-05-14,895.59
1997-05-15,899.01
1997-05-16,897.34
1997-05-19,896.7
1997-05-20,902.85
1997-05-21,901.98
1997-05-22,896.77
1997-05-23,905.63
1997-05-26,906.25
1997-05-27,904.23
1997-05-28,904.52
1997-05-29,902.16
1997-05-30,896.24
1997-06-02,897.75
1997-06-03,899.38
1997-06-04,897.98
1997-06-05,901.36
1997-06-06,910.52
1997-06-09,918.56
1997-06-10,920.52
1997-06-11,924.68
1997-06-12,931.3
1997-06-13,937.2
1997-06-16,941.39
1997-06-17,938.04
1997-06-18,935.53
1997-06-19,941.65
1997-06-20,941.81
1997-06-23,931.97
1997-06-24,941.86
1997-06-25,946.2
1997-06-26,944.77
1997-06-27,942.23
1997-06-30,939.75
1997-07-01,944.24
1997-07-02,951.16
1997-07-03,964.1
1997-07-04,962.64
1997-07-07,961.82
1997-07-08,963.94
1997-07-09,958.58
1997-07-10,960.66
1997-07-11,963.14
1997-07-14,966.26
1997-07-15,966.6
1997-07-16,978.55
1997-07-17,976.87
1997-07-18,963.69
1997-07-21,957.28
1997-07-22,970.43
1997-07-23,975.99
1997-07-24,975.74
1997-07-25,973.45
1997-07-28,970.93
1997-07-29,973.84
1997-07-30,979.86
1997-07-31,981.84
1997-08-01,972.52
1997-08-04,967.78
1997-08-05,965.77
1997-08-06,974.85
1997-08-07,972.84
1997-08-08,965.87
1997-08-11,960.37
1997-08-12,956.35
1997-08-13,952.84
1997-08-14,951.16
1997-08-15,940.26
1997-08-18,939.37
1997-08-19,947.28
1997-08-20,956.83
1997-08-21,950.91
1997-08-22,942.4
1997-08-25,938.86
1997-08-26,935.05
1997-08-27,932.35
1997-08-28,923.35
1997-08-29,914.97
1997-09-01,911.89
1997-09-02,929.02
1997-09-03,936.69
1997-09-04,937.02
1997-09-05,939.9
1997-09-08,941.15
1997-09-09,944.94
1997-09-10,934.04
1997-09-11,923.36
1997-09-12,927.97
1997-09-15,930.22
1997-09-16,943.88
1997-09-17,945.26
1997-09-18,949.15
1997-09-19,951.09
1997-09-22,955.77
1997-09-23,954.81
1997-09-24,959.64
1997-09-25,955.86
1997-09-26,959.18
1997-09-29,964.21
1997-09-30,963.49
1997-10-01,968.6
1997-10-02,970.8
1997-10-03,975.97
1997-10-06,979.9
1997-10-07,984.27
1997-10-08,980.64
1997-10-09,972.57
1997-10-10,969.36
1997-10-13,971.07
1997-10-14,970.17
1997-10-15,968
1997-10-16,967.12
1997-10-17,954.77
1997-10-20,955.32
1997-10-21,966.14
1997-10-22,963.25
1997-10-23,939.03
1997-10-24,935.25
1997-10-27,893.91
1997-10-28,901.61
1997-10-29,917.46
1997-10-30,903.03
1997-10-31,911.57
1997-11-03,928.55
1997-11-04,928.6
1997-11-05,929.75
1997-11-06,925.76
1997-11-07,909.7
1997-11-10,904.59
1997-11-11,907.04
1997-11-12,889.8
1997-11-13,895.34
1997-11-14,898.38
1997-11-17,922.28
1997-11-18,922.27
1997-11-19,916.39
1997-11-20,929.91
1997-11-21,939.79
1997-11-24,927.45
1997-11-25,919.57
1997-11-26,920.21
1997-11-27,924.54
1997-11-28,926.5
1997-12-01,941.43
1997-12-02,942.72
1997-12-03,943.88
1997-12-04,943.28
1997-12-05,948.21
1997-12-08,947.86
1997-12-09,945.72
1997-12-10,940.7
1997-12-11,923.81
1997-12-12,921.87
1997-12-15,926.32
1997-12-16,931.35
1997-12-17,940.25
1997-12-18,932.47
1997-12-19,917.2
1997-12-22,915.28
1997-12-23,910.92
1997-12-24,908.34
1997-12-25,908.34
1997-12-26,910.59
1997-12-29,925.17
1997-12-30,937.66
1997-12-31,936.59
1998-01-01,936.59
1998-01-02,938.67
1998-01-05,939.99
1998-01-06,932.01
1998-01-07,930.17
1998-01-08,923.24
1998-01-09,902.87
1998-01-12,896.45
1998-01-13,908.98
1998-01-14,917.41
1998-01-15,913.89
1998-01-16,930.77
1998-01-19,936.44
1998-01-20,945.14
1998-01-21,943.61
1998-01-22,940.62
1998-01-23,941.7
1998-01-26,946.16
1998-01-27,955.42
1998-01-28,962
1998-01-29,965.19
1998-01-30,961.49
1998-02-02,979.81
1998-02-03,986.25
1998-02-04,988.33
1998-02-05,993.18
1998-02-06,997.61
1998-02-09,994.88
1998-02-10,1000.83
1998-02-11,1002.11
1998-02-12,1001.81
1998-02-13,994.14
1998-02-16,995.17
1998-02-17,999.72
1998-02-18,1006.29
1998-02-19,1002.29
1998-02-20,1005.68
1998-02-23,1010.92
1998-02-24,1003.15
1998-02-25,1013.37
1998-02-26,1020.33
1998-02-27,1025.3
1998-03-02,1031.92
1998-03-03,1032.63
1998-03-04,1023.37
1998-03-05,1010.52
1998-03-06,1027.42
1998-03-09,1029.17
1998-03-10,1036.01
1998-03-11,1036.85
1998-03-12,1037.5
1998-03-13,1045.49
1998-03-16,1048.29
1998-03-17,1053.87
1998-03-18,1051.71
1998-03-19,1056.29
1998-03-20,1062.94
1998-03-23,1063.47
1998-03-24,1070.01
1998-03-25,1073.26
1998-03-26,1072.89
1998-03-27,1070.41
1998-03-30,1061.37
1998-03-31,1067.35
1998-04-01,1072.34
1998-04-02,1076.11
1998-04-03,1077.77
1998-04-06,1083.52
1998-04-07,1078.28
1998-04-08,1076.03
1998-04-09,1087.15
1998-04-10,1087.3
1998-04-13,1085.8
1998-04-14,1094.47
1998-04-15,1097.19
1998-04-16,1081.09
1998-04-17,1086.49
1998-04-20,1090.85
1998-04-21,1094.36
1998-04-22,1094.13
1998-04-23,1083.7
1998-04-24,1075.76
1998-04-27,1051.65
1998-04-28,1054.77
1998-04-29,1059.3
1998-04-30,1076.53
1998-05-01,1083.86
1998-05-04,1091.46
1998-05-05,1086.31
1998-05-06,1079.25
1998-05-07,1068.11
1998-05-08,1075.92
1998-05-11,1081.08
1998-05-12,1080.51
1998-05-13,1081.57
1998-05-14,1079.46
1998-05-15,1074.18
1998-05-18,1063.75
1998-05-19,1071.81
1998-05-20,1082.46
1998-05-21,1085.37
1998-05-22,1084.26
1998-05-25,1084.26
1998-05-26,1076.55
1998-05-27,1064.55
1998-05-28,1065.32
1998-05-29,1061.79
1998-06-01,1056.6
1998-06-02,1060.92
1998-06-03,1059.52
1998-06-04,1065.3
1998-06-05,1076.36
1998-06-08,1080.39
1998-06-09,1081.33
1998-06-10,1071.11
1998-06-11,1053.35
1998-06-12,1047.66
1998-06-15,1025.74
1998-06-16,1036.52
1998-06-17,1060.21
1998-06-18,1063.92
1998-06-19,1062.08
1998-06-22,1055.44
1998-06-23,1064.1
1998-06-24,1072.12
1998-06-25,1077.09
1998-06-26,1076.24
1998-06-29,1083.14
1998-06-30,1085.74
1998-07-01,1099.43
1998-07-02,1097.84
1998-07-03,1101.48
1998-07-06,1107.19
1998-07-07,1108.97
1998-07-08,1115.13
1998-07-09,1105.49
1998-07-10,1105.21
1998-07-13,1111.66
1998-07-14,1125.08
1998-07-15,1125.78
1998-07-16,1132.89
1998-07-17,1139.49
1998-07-20,1142.95
1998-07-21,1127.65
1998-07-22,1116.8
1998-07-23,1101.6
1998-07-24,1103.39
1998-07-27,1095.46
1998-07-28,1088.83
1998-07-29,1083.38
1998-07-30,1096.33
1998-07-31,1082.74
1998-08-03,1068.54
1998-08-04,1047.51
1998-08-05,1046.77
1998-08-06,1044.57
1998-08-07,1047.98
1998-08-10,1035.55
1998-08-11,1013.97
1998-08-12,1028.26
1998-08-13,1018.55
1998-08-14,1014.48
1998-08-17,1023.18
