,NAPMINV Index
DATE,px_last
2013-04-30,46.2
2013-05-31,48.7
2013-06-30,48.9
2013-07-31,47.6
2013-08-31,47.9
2013-09-30,49
2013-10-31,52.4
2013-11-30,53.9
2013-12-31,52.2
2014-01-31,43.9
2014-02-28,50.7
2014-03-31,52.6
2014-04-30,53.2
2014-05-31,53
2014-06-30,52.3
2014-07-31,49.8
2014-08-31,50.9
2014-09-30,51.1
2014-10-31,52.7
2014-11-30,52.2
2014-12-31,48.5
2015-01-31,50.1
2015-02-28,49.9
2015-03-31,50.3
2015-04-30,49.7
2015-05-31,51.6
2015-06-30,52.1
2015-07-31,50.6
2015-08-31,47.8
2015-09-30,48.7
2015-10-31,46.6
2015-11-30,45.7
2015-12-31,49
2016-01-31,44.5
2016-02-29,44.7
2016-03-31,46.8
2016-04-30,45.5
2016-05-31,44.8
2016-06-30,47.9
2016-07-31,50.7
2016-08-31,48.3
2016-09-30,49.5
2016-10-31,48.3
2016-11-30,50.2
2016-12-31,48.7
2017-01-31,49.3
2017-02-28,50.9
2017-03-31,48.4
2017-04-30,51.4
2017-05-31,52.3
2017-06-30,48.7
2017-07-31,49.4
2017-08-31,54.6
2017-09-30,52.3
2017-10-31,48
2017-11-30,48.3
2017-12-31,51
2018-01-31,52.5
2018-02-28,55.2
2018-03-31,54.5
2018-04-30,52.4
2018-05-31,50.3
2018-06-30,50.6
2018-07-31,53.4
2018-08-31,54.3
2018-09-30,53.1
2018-10-31,50.8
2018-11-30,54.4
2018-12-31,53.6
2019-01-31,53
2019-02-28,51.8
2019-03-31,51
2019-04-30,52.3
2019-05-31,51.1
2019-06-30,49.1
2019-07-31,49.6
2019-08-31,48.8
2019-09-30,46.8
2019-10-31,49.1
2019-11-30,46.9
2019-12-31,48.7
2020-01-31,48.9
2020-02-29,46.7
2020-03-31,47.2
2020-04-30,49.5
2020-05-31,50.1
2020-06-30,50.2
2020-07-31,47.2
2020-08-31,44.8
2020-09-30,47.7
2020-10-31,51.6
2020-11-30,50.8
2020-12-31,51
2021-01-31,50.8
2021-02-28,49.7
2021-03-31,50.8
2021-04-30,46.5
2021-05-31,50.8
2021-06-30,51.1
2021-07-31,48.9
2021-08-31,54.2
2021-09-30,55.6
