Date,USDKRW Curncy
1997-12-08,1308.3
1997-12-09,1416.1
1997-12-10,1533.7
1997-12-11,1684.7
1997-12-12,1702.5
1997-12-15,1532.7
1997-12-16,1425
1997-12-17,1481
1997-12-18,1406
1997-12-19,1472.5
1997-12-22,1715
1997-12-23,1962.5
1997-12-24,1836
1997-12-25,1836
1997-12-26,1498
1997-12-29,1395
1997-12-30,1590
1997-12-31,1600
1998-01-01,1600
1998-01-02,1600
1998-01-05,1780
1998-01-06,1742
1998-01-07,1745
1998-01-08,1788
1998-01-09,1810
1998-01-12,1738
1998-01-13,1762
1998-01-14,1671
1998-01-15,1605
1998-01-16,1618
1998-01-19,1584
1998-01-20,1642
1998-01-21,1723
1998-01-22,1760
1998-01-23,1745
1998-01-26,1688
1998-01-27,1629.6
1998-01-28,1550
1998-01-29,1629
1998-01-30,1525
1998-02-02,1503.5
1998-02-03,1581
1998-02-04,1608
1998-02-05,1604
1998-02-06,1556
1998-02-09,1558
1998-02-10,1584
1998-02-11,1600
1998-02-12,1625
1998-02-13,1561.7
1998-02-16,1669
1998-02-17,1686
1998-02-18,1709
1998-02-19,1619.9
1998-02-20,1660
1998-02-23,1662
1998-02-24,1653
1998-02-25,1641.5
1998-02-26,1653
1998-02-27,1633
1998-03-02,1548
1998-03-03,1556
1998-03-04,1564
1998-03-05,1598
1998-03-06,1635
1998-03-09,1615
1998-03-10,1593.5
1998-03-11,1582
1998-03-12,1546
1998-03-13,1515
1998-03-16,1457
1998-03-17,1472.5
1998-03-18,1484
1998-03-19,1476.5
1998-03-20,1448.5
1998-03-23,1363.4
1998-03-24,1375
1998-03-25,1385
1998-03-26,1390
1998-03-27,1377
1998-03-30,1383
1998-03-31,1383.5
1998-04-01,1390.5
1998-04-02,1413
1998-04-03,1446
1998-04-06,1469
1998-04-07,1434
1998-04-08,1410
1998-04-09,1388
1998-04-10,1384
1998-04-13,1403
1998-04-14,1399
1998-04-15,1396.5
1998-04-16,1391
1998-04-17,1384
1998-04-20,1382.5
1998-04-21,1376
1998-04-22,1374
1998-04-23,1368
1998-04-24,1364
1998-04-27,1362
1998-04-28,1347.5
1998-04-29,1334.5
1998-04-30,1335
1998-05-01,1335
1998-05-04,1350
1998-05-05,1326.5
1998-05-06,1369
1998-05-07,1399
1998-05-08,1387
1998-05-11,1389.5
1998-05-12,1389
1998-05-13,1398.7
1998-05-14,1418
1998-05-15,1436
1998-05-18,1443.5
1998-05-19,1441.9
1998-05-20,1410
1998-05-21,1389
1998-05-22,1382
1998-05-25,1384
1998-05-26,1393
1998-05-27,1412
1998-05-28,1400
1998-05-29,1407
1998-06-01,1397.5
1998-06-02,1402
1998-06-03,1391
1998-06-04,1390
1998-06-05,1395
1998-06-08,1399
1998-06-09,1395
1998-06-10,1393
1998-06-11,1391
1998-06-12,1398
1998-06-15,1434
1998-06-16,1430
1998-06-17,1420
1998-06-18,1392
1998-06-19,1393
1998-06-22,1394
1998-06-23,1383
1998-06-24,1380
1998-06-25,1371
1998-06-26,1386.5
1998-06-29,1383
1998-06-30,1373
1998-07-01,1370
1998-07-02,1366
1998-07-03,1357
1998-07-06,1345
1998-07-07,1344
1998-07-08,1333
1998-07-09,1308.5
1998-07-10,1313
1998-07-13,1312
1998-07-14,1288
1998-07-15,1282
1998-07-16,1283
1998-07-17,1283
1998-07-20,1289
1998-07-21,1291
1998-07-22,1290
1998-07-23,1273.5
1998-07-24,1245
1998-07-27,1257
1998-07-28,1230
1998-07-29,1221.8
1998-07-30,1234
1998-07-31,1230
1998-08-03,1210
1998-08-04,1240
1998-08-05,1263
1998-08-06,1275
1998-08-07,1326
1998-08-10,1338
1998-08-11,1339
1998-08-12,1331
1998-08-13,1332.5
1998-08-14,1325
1998-08-17,1333
1998-08-18,1319
1998-08-19,1305
1998-08-20,1300
1998-08-21,1300
1998-08-24,1306
1998-08-25,1307
1998-08-26,1308
1998-08-27,1320
1998-08-28,1336
1998-08-31,1350
1998-09-01,1355
1998-09-02,1340
1998-09-03,1331
1998-09-04,1320.5
1998-09-07,1343
1998-09-08,1357
1998-09-09,1362
1998-09-10,1368
1998-09-11,1366.5
1998-09-14,1389
1998-09-15,1380
1998-09-16,1376
1998-09-17,1381
1998-09-18,1386
1998-09-21,1392.5
1998-09-22,1399.8
1998-09-23,1402.5
1998-09-24,1393
1998-09-25,1386.5
1998-09-28,1382.5
1998-09-29,1371
1998-09-30,1391
1998-10-01,1388.3
1998-10-02,1389.5
1998-10-05,1389.5
1998-10-06,1367.8
1998-10-07,1380
1998-10-08,1361
1998-10-09,1333
1998-10-12,1319
1998-10-13,1347
1998-10-14,1350
1998-10-15,1334
1998-10-16,1323.5
1998-10-19,1325
1998-10-20,1328
1998-10-21,1325
1998-10-22,1323
1998-10-23,1316
1998-10-26,1313
1998-10-27,1319
1998-10-28,1317.5
1998-10-29,1314
1998-10-30,1319
1998-11-02,1318.7
1998-11-03,1314.5
1998-11-04,1311.5
1998-11-05,1316
1998-11-06,1312
1998-11-09,1314.9
1998-11-10,1317
1998-11-11,1315.5
1998-11-12,1314.9
1998-11-13,1316.5
1998-11-16,1316.3
1998-11-17,1304.5
1998-11-18,1295
1998-11-19,1287
1998-11-20,1263
1998-11-23,1246
1998-11-24,1252
1998-11-25,1253.8
1998-11-26,1239.5
1998-11-27,1241
1998-11-30,1238
1998-12-01,1245
1998-12-02,1235.5
1998-12-03,1225.5
1998-12-04,1214
1998-12-07,1208
1998-12-08,1215
1998-12-09,1215
1998-12-10,1207
1998-12-11,1207
1998-12-14,1204
1998-12-15,1211.5
1998-12-16,1208.5
1998-12-17,1209.3
1998-12-18,1207.9
1998-12-21,1193
1998-12-22,1204
1998-12-23,1206
1998-12-24,1207.3
1998-12-25,1207.3
1998-12-28,1209.2
1998-12-29,1209.9
1998-12-30,1209.1
1998-12-31,1204
1999-01-01,1204
1999-01-04,1186.25
1999-01-05,1167
1999-01-06,1158.5
1999-01-07,1149
1999-01-08,1172.5
1999-01-11,1176
1999-01-12,1175
1999-01-13,1174
1999-01-14,1186
1999-01-15,1184
1999-01-18,1181.25
1999-01-19,1179.2
1999-01-20,1166.5
1999-01-21,1172.5
1999-01-22,1180.8
1999-01-25,1184
1999-01-26,1175.5
1999-01-27,1176.1
1999-01-28,1175.6
1999-01-29,1175
1999-02-01,1175.3
1999-02-02,1169
1999-02-03,1170
1999-02-04,1170
1999-02-05,1170.3
1999-02-08,1175
1999-02-09,1175.3
1999-02-10,1180
1999-02-11,1175.08
1999-02-12,1176.3
1999-02-15,1174.4
1999-02-16,1175
1999-02-17,1175
1999-02-18,1182.2
1999-02-19,1205
1999-02-22,1216
1999-02-23,1211.5
1999-02-24,1217.5
1999-02-25,1224.75
1999-02-26,1222.75
1999-03-01,1219
1999-03-02,1225.5
1999-03-03,1229.5
1999-03-04,1240
1999-03-05,1241.75
1999-03-08,1239
1999-03-09,1235.5
1999-03-10,1234
1999-03-11,1228.83
1999-03-12,1233.16
1999-03-15,1229.1
1999-03-16,1221.2
1999-03-17,1228.7
1999-03-18,1225.5
1999-03-19,1215
1999-03-22,1223.5
1999-03-23,1225.5
1999-03-24,1222.6
1999-03-25,1223.1
1999-03-26,1223
1999-03-29,1211.76
1999-03-30,1222.5
1999-03-31,1227
1999-04-01,1225.5
1999-04-02,1224.6
1999-04-05,1225.5
1999-04-06,1223.5
1999-04-07,1222.55
1999-04-08,1220.93
1999-04-09,1223.3
1999-04-12,1223.2
1999-04-13,1217.5
1999-04-14,1214
1999-04-15,1215
1999-04-16,1204.73
1999-04-19,1204
1999-04-20,1191
1999-04-21,1188
1999-04-22,1193
1999-04-23,1192
1999-04-26,1185.95
1999-04-27,1185.7
1999-04-28,1178
1999-04-29,1179.5
1999-04-30,1175.13
1999-05-03,1178.1
1999-05-04,1196
1999-05-05,1185.03
1999-05-06,1189.98
1999-05-07,1185
1999-05-10,1201.03
1999-05-11,1185
1999-05-12,1190
1999-05-13,1206.35
1999-05-14,1207.6
1999-05-17,1206.5
1999-05-18,1200.5
1999-05-19,1204.5
1999-05-20,1198.5
1999-05-21,1193.25
1999-05-24,1189.3
1999-05-25,1186.55
1999-05-26,1191
1999-05-27,1189.55
1999-05-28,1185.8
1999-05-31,1186.25
1999-06-01,1187.2
1999-06-02,1186.1
1999-06-03,1184.4
1999-06-04,1184
1999-06-07,1183.5
1999-06-08,1178
1999-06-09,1166
1999-06-10,1167
1999-06-11,1167.4
1999-06-14,1170
1999-06-15,1165.5
1999-06-16,1164.5
1999-06-17,1166.5
1999-06-18,1163.5
1999-06-21,1165.5
1999-06-22,1159
1999-06-23,1162.9
1999-06-24,1157.5
1999-06-25,1155
1999-06-28,1156.5
1999-06-29,1157.25
1999-06-30,1157.5
1999-07-01,1164.25
1999-07-02,1163.8
1999-07-05,1163.5
1999-07-06,1167.5
1999-07-07,1172
1999-07-08,1180.5
1999-07-09,1185.5
1999-07-12,1183
1999-07-13,1176
1999-07-14,1182.25
1999-07-15,1183.98
1999-07-16,1182
1999-07-19,1187.5
1999-07-20,1192.5
1999-07-21,1200.5
1999-07-22,1208
1999-07-23,1208.4
1999-07-26,1204.1
1999-07-27,1203
1999-07-28,1197.8
1999-07-29,1204
1999-07-30,1203.5
1999-08-02,1199.55
1999-08-03,1198
1999-08-04,1201
1999-08-05,1201.18
1999-08-06,1200.05
1999-08-09,1199.18
1999-08-10,1199.05
1999-08-11,1202.5
1999-08-12,1205.5
1999-08-13,1206.75
1999-08-16,1202.75
1999-08-17,1205.13
1999-08-18,1202.95
1999-08-19,1199.15
1999-08-20,1200.6
1999-08-23,1197.25
1999-08-24,1201.7
1999-08-25,1191.5
1999-08-26,1190.8
1999-08-27,1182.5
1999-08-30,1184.2
1999-08-31,1180.5
1999-09-01,1184.75
1999-09-02,1190.3
1999-09-03,1190.55
1999-09-06,1192.5
1999-09-07,1193.5
1999-09-08,1194.5
1999-09-09,1195
1999-09-10,1191
1999-09-13,1190.5
1999-09-14,1193.3
1999-09-15,1195.5
1999-09-16,1198.5
1999-09-17,1203
1999-09-20,1200.5
1999-09-21,1202.5
1999-09-22,1207.5
1999-09-23,1208
1999-09-24,1211
1999-09-27,1210.5
1999-09-28,1217.5
1999-09-29,1217.5
1999-09-30,1217.5
1999-10-01,1215.5
1999-10-04,1212.5
1999-10-05,1206.5
1999-10-06,1203.5
1999-10-07,1202.5
1999-10-08,1203.5
1999-10-11,1202.5
1999-10-12,1204.3
1999-10-13,1204.38
1999-10-14,1207.25
1999-10-15,1205
1999-10-18,1203.5
1999-10-19,1205.5
1999-10-20,1204.5
1999-10-21,1205.5
1999-10-22,1205.25
1999-10-25,1205
1999-10-26,1203.5
1999-10-27,1200.5
1999-10-28,1201.5
1999-10-29,1199.5
1999-11-01,1196
1999-11-02,1195
1999-11-03,1191.78
1999-11-04,1184.5
1999-11-05,1186.5
1999-11-08,1183.35
1999-11-09,1183.75
1999-11-10,1179.5
1999-11-11,1173.25
1999-11-12,1170.25
1999-11-15,1181.5
1999-11-16,1178
1999-11-17,1177.18
1999-11-18,1173.5
1999-11-19,1173.65
1999-11-22,1173.5
1999-11-23,1169.5
1999-11-24,1161.5
1999-11-25,1159
1999-11-26,1159.65
1999-11-29,1159.15
1999-11-30,1159.25
1999-12-01,1157.25
1999-12-02,1149.5
1999-12-03,1150.25
1999-12-06,1150.1
1999-12-07,1138.5
1999-12-08,1124.5
1999-12-09,1129.5
1999-12-10,1132.65
1999-12-13,1128.25
1999-12-14,1133.5
1999-12-15,1134.5
1999-12-16,1130.5
1999-12-17,1130.4
1999-12-20,1135.5
1999-12-21,1134.25
1999-12-22,1131.5
1999-12-23,1130.5
1999-12-24,1131.9
1999-12-27,1133.6
1999-12-28,1142.75
1999-12-29,1142
1999-12-30,1132.8
1999-12-31,1140
2000-01-03,1127.5
2000-01-04,1122.25
2000-01-05,1134.5
2000-01-06,1146.25
2000-01-07,1137.5
2000-01-10,1133.25
2000-01-11,1146
2000-01-12,1144.25
2000-01-13,1135.25
2000-01-14,1117.71
2000-01-17,1120.5
2000-01-18,1126.5
2000-01-19,1133.5
2000-01-20,1125.5
2000-01-21,1127.5
2000-01-24,1125.43
2000-01-25,1126.93
2000-01-26,1127.43
2000-01-27,1126.43
2000-01-28,1123.93
2000-01-31,1124.93
2000-02-01,1126.93
2000-02-02,1130.5
2000-02-03,1130
2000-02-04,1129.5
2000-02-07,1129.2
2000-02-08,1127.69
2000-02-09,1123.5
2000-02-10,1123.93
2000-02-11,1121.43
2000-02-14,1127.43
2000-02-15,1126.93
2000-02-16,1126.93
2000-02-17,1128.5
2000-02-18,1129.5
2000-02-21,1132.5
2000-02-22,1134.5
2000-02-23,1135.5
2000-02-24,1143.5
2000-02-25,1136.5
2000-02-28,1134.5
2000-02-29,1131.11
2000-03-01,1128
2000-03-02,1119.75
2000-03-03,1124.43
2000-03-06,1123.43
2000-03-07,1122.93
2000-03-08,1123.43
2000-03-09,1124.93
2000-03-10,1123.43
2000-03-13,1123.93
2000-03-14,1123.03
2000-03-15,1122.93
2000-03-16,1117.5
2000-03-17,1117.25
2000-03-20,1122.43
2000-03-21,1121.93
2000-03-22,1120.43
2000-03-23,1109.75
2000-03-24,1117.93
2000-03-27,1119.93
2000-03-28,1119.93
2000-03-29,1118.43
2000-03-30,1117.43
2000-03-31,1116.43
2000-04-03,1119.93
2000-04-04,1120.43
2000-04-05,1120.93
2000-04-06,1119.43
2000-04-07,1107.1
2000-04-10,1109.8
2000-04-11,1109.75
2000-04-12,1108.25
2000-04-13,1106.5
2000-04-14,1111.1
2000-04-17,1113.7
2000-04-18,1110.26
2000-04-19,1109.4
2000-04-20,1108.95
2000-04-21,1108.45
2000-04-24,1108.75
2000-04-25,1108.25
2000-04-26,1108.05
2000-04-27,1109.75
2000-04-28,1109.75
2000-05-01,1110
2000-05-02,1109.8
2000-05-03,1109.9
2000-05-04,1111.25
2000-05-05,1111.15
2000-05-08,1109.65
2000-05-09,1109.25
2000-05-10,1109.1
2000-05-11,1112.5
2000-05-12,1114.5
2000-05-15,1114.75
2000-05-16,1114.55
2000-05-17,1115.25
2000-05-18,1118.5
2000-05-19,1122.7
2000-05-22,1131.5
2000-05-23,1133.5
2000-05-24,1132.5
2000-05-25,1129.9
2000-05-26,1136
2000-05-29,1137.3
2000-05-30,1135.5
2000-05-31,1129.45
2000-06-01,1132.5
2000-06-02,1125.1
2000-06-05,1118.5
2000-06-06,1116.5
2000-06-07,1113.25
2000-06-08,1115.5
2000-06-09,1115
2000-06-12,1113.38
2000-06-13,1114.15
2000-06-14,1114.5
2000-06-15,1114.75
2000-06-16,1116.3
2000-06-19,1122
2000-06-20,1119.1
2000-06-21,1119.25
2000-06-22,1118.75
2000-06-23,1119.25
2000-06-26,1118
2000-06-27,1118.2
2000-06-28,1116.1
2000-06-29,1114.7
2000-06-30,1115.03
2000-07-03,1113.8
2000-07-04,1113.49
2000-07-05,1117
2000-07-06,1117
2000-07-07,1118.5
2000-07-10,1119
2000-07-11,1116.35
2000-07-12,1115.5
2000-07-13,1110.55
2000-07-14,1112.8
2000-07-17,1112.85
2000-07-18,1113.6
2000-07-19,1112.2
2000-07-20,1111.55
2000-07-21,1112.8
2000-07-24,1114.05
