Date,LUATTRUU Index
1997-12-15,889.87
1997-12-16,890.44
1997-12-17,889.23
1997-12-18,891.27
1997-12-19,893.07
1997-12-22,893.58
1997-12-23,893.53
1997-12-24,893.25
1997-12-26,893.4
1997-12-29,893.23
1997-12-30,891.28
1997-12-31,893.86
1998-01-02,897.58
1998-01-05,904.22
1998-01-06,905.14
1998-01-07,902.82
1998-01-08,906.13
1998-01-09,910.06
1998-01-12,910.54
1998-01-13,909.73
1998-01-14,908.24
1998-01-15,907.92
1998-01-16,905.25
1998-01-20,904.73
1998-01-21,905.96
1998-01-22,905.27
1998-01-23,899.38
1998-01-26,902.78
1998-01-27,899.97
1998-01-28,900.37
1998-01-29,905.48
1998-01-30,907.55
1998-02-02,905.49
1998-02-03,905.99
1998-02-04,906.09
1998-02-05,903.75
1998-02-06,903.8
1998-02-09,902.69
1998-02-10,903.68
1998-02-11,906.49
1998-02-12,906.13
1998-02-13,907.7
1998-02-17,910.45
1998-02-18,908.77
1998-02-19,908.29
1998-02-20,907.45
1998-02-23,905.84
1998-02-24,901.82
1998-02-25,904.11
1998-02-26,903.2
1998-02-27,904.85
1998-03-02,901
1998-03-03,898.86
1998-03-04,899.56
1998-03-05,898.96
1998-03-06,901.25
1998-03-09,904.05
1998-03-10,904.35
1998-03-11,906.02
1998-03-12,908.98
1998-03-13,908.34
1998-03-16,910.38
1998-03-17,909.23
1998-03-18,908.55
1998-03-19,908.28
1998-03-20,909.27
1998-03-23,909.82
1998-03-24,909.9
1998-03-25,907.15
1998-03-26,905.92
1998-03-27,905.56
1998-03-30,904.92
1998-03-31,907.32
1998-04-01,909.39
1998-04-02,912.14
1998-04-03,916.13
1998-04-06,914.43
1998-04-07,913.85
1998-04-08,911.57
1998-04-09,912.03
1998-04-13,909.41
1998-04-14,911
1998-04-15,912.22
1998-04-16,913.03
1998-04-17,913.14
1998-04-20,911.54
1998-04-21,909.91
1998-04-22,909.89
1998-04-23,909.48
1998-04-24,910.78
1998-04-27,905.25
1998-04-28,905.34
1998-04-29,905.13
1998-04-30,911.36
1998-05-01,911.76
1998-05-04,912.12
1998-05-05,911.01
1998-05-06,912.87
1998-05-07,912.95
1998-05-08,911.44
1998-05-11,908.67
1998-05-12,912.55
1998-05-13,913.25
1998-05-14,911.84
1998-05-15,912.1
1998-05-18,914.7
1998-05-19,914.28
1998-05-20,916.28
1998-05-21,914.28
1998-05-22,915.09
1998-05-26,917.89
1998-05-27,919.43
1998-05-28,919.03
1998-05-29,920.83
1998-06-01,921.96
1998-06-02,921.12
1998-06-03,921.02
1998-06-04,920.07
1998-06-05,921.02
1998-06-08,921.54
1998-06-09,921.56
1998-06-10,925.37
1998-06-11,928.95
1998-06-12,929.36
1998-06-15,931.66
1998-06-16,928.79
1998-06-17,924.54
1998-06-18,926.44
1998-06-19,927.67
1998-06-22,928.69
1998-06-23,929.67
1998-06-24,929.2
1998-06-25,929.12
1998-06-26,929.96
1998-06-29,929.9
1998-06-30,931.44
1998-07-01,931.82
1998-07-02,933.11
1998-07-06,934.82
1998-07-07,933.71
1998-07-08,932.91
1998-07-09,934.3
1998-07-10,933.91
1998-07-13,931.77
1998-07-14,930.58
1998-07-15,931.19
1998-07-16,930.15
1998-07-17,929.72
1998-07-20,931.57
1998-07-21,933.3
1998-07-22,932.83
1998-07-23,934.02
1998-07-24,933.35
1998-07-27,933.09
1998-07-28,932.13
1998-07-29,931.04
1998-07-30,932.38
1998-07-31,932.9
1998-08-03,935.81
1998-08-04,937.02
1998-08-05,937.42
1998-08-06,936.84
1998-08-07,939.43
1998-08-10,939.73
1998-08-11,941.55
1998-08-12,940.79
1998-08-13,939.28
1998-08-14,941.45
1998-08-17,941.7
1998-08-18,941.24
1998-08-19,941.22
1998-08-20,943.29
1998-08-21,946.09
1998-08-24,946.96
1998-08-25,949.4
1998-08-26,950.58
1998-08-27,953.92
1998-08-28,955.09
1998-08-31,958.24
1998-09-01,957.09
1998-09-02,955.91
1998-09-03,958.3
1998-09-04,959.26
1998-09-08,958.2
1998-09-09,963.05
1998-09-10,971.15
1998-09-11,967.2
1998-09-14,966.78
1998-09-15,965.55
1998-09-16,967.14
1998-09-17,969.52
1998-09-18,971.91
1998-09-21,972.15
1998-09-22,971.22
1998-09-23,973.72
1998-09-24,975.9
1998-09-25,976.66
1998-09-28,976.18
1998-09-29,977.85
1998-09-30,984.95
1998-10-01,990.62
1998-10-02,991.75
1998-10-05,998.84
1998-10-06,995.54
1998-10-07,990.36
1998-10-08,980.62
1998-10-09,970.8
1998-10-13,973.21
1998-10-14,979.94
1998-10-15,978.42
1998-10-16,986.55
1998-10-19,985.99
1998-10-20,982.1
1998-10-21,980.99
1998-10-22,978.74
1998-10-23,976.54
1998-10-26,978.96
1998-10-27,983.36
1998-10-28,983.71
1998-10-29,985.73
1998-10-30,981.8
1998-11-02,975.53
1998-11-03,976.22
1998-11-04,970.34
1998-11-05,970.38
1998-11-06,965.63
1998-11-09,970.52
1998-11-10,972.14
1998-11-12,974.51
1998-11-13,973.62
1998-11-16,973.09
1998-11-17,972.62
1998-11-18,973.96
1998-11-19,973.05
1998-11-20,974.35
1998-11-23,973.07
1998-11-24,973.41
1998-11-25,974.74
1998-11-27,976.16
1998-11-30,981.58
1998-12-01,983.94
1998-12-02,987.14
1998-12-03,987.21
1998-12-04,983.87
1998-12-07,981.99
1998-12-08,986.09
1998-12-09,988.69
1998-12-10,988.69
1998-12-11,985.39
1998-12-14,987.33
1998-12-15,984.46
1998-12-16,987
1998-12-17,987.16
1998-12-18,986.67
1998-12-21,983.64
1998-12-22,980.59
1998-12-23,975.91
1998-12-24,973.9
1998-12-28,977.81
1998-12-29,980.59
1998-12-30,983.25
1998-12-31,983.5
1999-01-04,982.38
1999-01-05,979.96
1999-01-06,982.35
1999-01-07,979.53
1999-01-08,975.16
1999-01-11,973.78
1999-01-12,976.96
1999-01-13,980.74
1999-01-14,986.34
1999-01-15,983.06
1999-01-19,982.75
1999-01-20,981.08
1999-01-21,984.02
1999-01-22,987.31
1999-01-25,986.7
1999-01-26,986.16
1999-01-27,986.49
1999-01-28,987.82
1999-01-29,989.21
1999-02-01,984.06
1999-02-02,981.09
1999-02-03,980.1
1999-02-04,976.62
1999-02-05,975
1999-02-08,975.79
1999-02-09,977.61
1999-02-10,977.37
1999-02-11,976.78
1999-02-12,968.99
1999-02-16,971.77
1999-02-17,974.19
1999-02-18,971.88
1999-02-19,971.09
1999-02-22,973.49
1999-02-23,970.25
1999-02-24,966.17
1999-02-25,961.25
1999-02-26,963.96
1999-03-01,959.1
1999-03-02,961.55
1999-03-03,959.35
1999-03-04,957.78
1999-03-05,961.58
1999-03-08,962.99
1999-03-09,967.15
1999-03-10,966.32
1999-03-11,966.35
1999-03-12,968.56
1999-03-15,970.75
1999-03-16,972.56
1999-03-17,970.96
1999-03-18,971.88
1999-03-19,969.08
1999-03-22,967.59
1999-03-23,968.36
1999-03-24,970.04
1999-03-25,967.65
1999-03-26,967.71
1999-03-29,965.9
1999-03-30,969.5
1999-03-31,967.66
1999-04-01,965.33
1999-04-05,970.68
1999-04-06,974.35
1999-04-07,974.33
1999-04-08,979.45
1999-04-09,978.52
1999-04-12,978.92
1999-04-13,976.78
1999-04-14,976.47
1999-04-15,975.31
1999-04-16,972.91
1999-04-19,975.45
1999-04-20,976.81
1999-04-21,976.63
1999-04-22,972.21
1999-04-23,972.76
1999-04-26,974.35
1999-04-27,975.72
1999-04-28,974.41
1999-04-29,977.71
1999-04-30,969.96
1999-05-03,970.6
1999-05-04,968.16
1999-05-05,969.42
1999-05-06,964.22
1999-05-07,963.18
1999-05-10,965.25
1999-05-11,962.62
1999-05-12,963.75
1999-05-13,968.97
1999-05-14,959.71
1999-05-17,959.87
1999-05-18,959.26
1999-05-19,962.51
1999-05-20,961.47
1999-05-21,964.27
1999-05-24,965.12
1999-05-25,965.19
1999-05-26,963.01
1999-05-27,960.04
1999-05-28,960.91
1999-06-01,954.69
1999-06-02,954.8
1999-06-03,954.84
1999-06-04,954.75
1999-06-07,955.06
1999-06-08,953.74
1999-06-09,952.73
1999-06-10,950.45
1999-06-11,945.83
1999-06-14,948.66
1999-06-15,949.04
1999-06-16,950.57
1999-06-17,957.78
1999-06-18,955.56
1999-06-21,953.05
1999-06-22,951.48
1999-06-23,948.57
1999-06-24,946.76
1999-06-25,947.68
1999-06-28,951.43
1999-06-29,953.21
1999-06-30,958.9
1999-07-01,957.31
1999-07-02,958.38
1999-07-06,957.05
1999-07-07,955.95
1999-07-08,959.29
1999-07-09,959.04
1999-07-12,964.73
1999-07-13,965.81
1999-07-14,964.47
1999-07-15,965.1
1999-07-16,966.76
1999-07-19,967.38
1999-07-20,968.46
1999-07-21,967.68
1999-07-22,963.2
1999-07-23,960.91
1999-07-26,960.52
1999-07-27,962.23
1999-07-28,962.3
1999-07-29,959.3
1999-07-30,958.09
1999-08-02,957.85
1999-08-03,956.71
1999-08-04,957.57
1999-08-05,960.31
1999-08-06,954.07
1999-08-09,950.69
1999-08-10,950.11
1999-08-11,951.99
1999-08-12,951.12
1999-08-13,955.51
1999-08-16,956.02
1999-08-17,959.84
1999-08-18,960.59
1999-08-19,959.67
1999-08-20,960.72
1999-08-23,960.94
1999-08-24,963.54
1999-08-25,968.42
1999-08-26,967.53
1999-08-27,962.9
1999-08-30,958.57
1999-08-31,958.23
1999-09-01,957.95
1999-09-02,955.62
1999-09-03,961.81
1999-09-07,959.44
1999-09-08,960.48
1999-09-09,958.57
1999-09-10,962.13
1999-09-13,961.29
1999-09-14,958.56
1999-09-15,960.14
1999-09-16,962.04
1999-09-17,963.95
1999-09-20,962.67
1999-09-21,961.94
1999-09-22,962.81
1999-09-23,966.26
1999-09-24,971.01
1999-09-27,967.77
1999-09-28,965.36
1999-09-29,961.61
1999-09-30,965.57
1999-10-01,960.45
1999-10-04,963.57
1999-10-05,959.17
1999-10-06,959.05
1999-10-07,959.1
1999-10-08,959.49
1999-10-12,958.55
1999-10-13,955.84
1999-10-14,954.27
1999-10-15,958.2
1999-10-18,956.65
1999-10-19,954.68
1999-10-20,954.65
1999-10-21,954.16
1999-10-22,954.03
1999-10-25,954.29
1999-10-26,953.7
1999-10-27,956.53
1999-10-28,960.4
1999-10-29,966.62
1999-11-01,964.77
1999-11-02,966.78
1999-11-03,967.52
1999-11-04,970.37
1999-11-05,972.71
1999-11-08,972.23
1999-11-09,971.85
1999-11-10,970.7
1999-11-12,974.36
1999-11-15,974.66
1999-11-16,973.47
1999-11-17,970.15
1999-11-18,969.04
1999-11-19,969.2
1999-11-22,968.27
1999-11-23,968.29
1999-11-24,967.72
1999-11-26,966.57
1999-11-29,962.86
1999-11-30,964.78
1999-12-01,963.61
1999-12-02,962.54
1999-12-03,966.57
1999-12-06,967.8
1999-12-07,970.24
1999-12-08,968.8
1999-12-09,969.95
1999-12-10,973.13
1999-12-13,972.13
1999-12-14,966.27
1999-12-15,964.49
1999-12-16,961.34
1999-12-17,961.26
1999-12-20,958.95
1999-12-21,958.23
1999-12-22,958.11
1999-12-23,957.69
1999-12-27,959.62
1999-12-28,958.64
1999-12-29,960.19
1999-12-30,961.19
1999-12-31,958.37
2000-01-03,953.47
2000-01-04,957.56
2000-01-05,953.2
2000-01-06,956.22
2000-01-07,958.71
2000-01-10,957.12
2000-01-11,952.75
2000-01-12,951.77
2000-01-13,956.36
2000-01-14,954.42
2000-01-18,952.8
2000-01-19,954.27
2000-01-20,953.19
2000-01-21,953.86
2000-01-24,957.53
2000-01-25,958.05
2000-01-26,959.59
2000-01-27,960.67
2000-01-28,963.18
2000-01-31,960.87
2000-02-01,963.07
2000-02-02,964.65
2000-02-03,970
2000-02-04,967.97
2000-02-07,964.21
2000-02-08,968.14
2000-02-09,964.99
2000-02-10,962.1
2000-02-11,964.19
2000-02-14,968.61
2000-02-15,967.12
2000-02-16,966.98
2000-02-17,967.59
2000-02-18,971.15
2000-02-22,977.25
2000-02-23,973.51
2000-02-24,976.68
2000-02-25,975.78
2000-02-28,973.18
2000-02-29,975.32
2000-03-01,975.5
2000-03-02,975.83
2000-03-03,977.74
2000-03-06,976.21
2000-03-07,977.11
2000-03-08,976.7
2000-03-09,977.56
2000-03-10,975.59
2000-03-13,976.97
2000-03-14,980.43
2000-03-15,982.11
2000-03-16,983.68
2000-03-17,985.66
2000-03-20,986.42
2000-03-21,987.69
2000-03-22,988.15
2000-03-23,989.8
2000-03-24,984.81
2000-03-27,985.37
2000-03-28,986.14
2000-03-29,986.61
2000-03-30,992.26
2000-03-31,994.69
2000-04-03,996.42
2000-04-04,1002.58
2000-04-05,1000.85
2000-04-06,1000.22
2000-04-07,1004.11
2000-04-10,1006.17
2000-04-11,1001.46
2000-04-12,997.72
2000-04-13,1000.27
2000-04-14,1001.98
2000-04-17,996.51
2000-04-18,996.32
2000-04-19,1000.44
2000-04-20,1000.51
2000-04-24,999.92
2000-04-25,995.51
2000-04-26,994.97
2000-04-27,990.36
2000-04-28,991.54
2000-05-01,990.89
2000-05-02,988.26
2000-05-03,984.01
2000-05-04,980.43
2000-05-05,978.68
2000-05-08,976.16
2000-05-09,978.49
2000-05-10,981.78
2000-05-11,982.92
2000-05-12,978.96
2000-05-15,981.82
2000-05-16,983.77
2000-05-17,981.47
2000-05-18,977.61
2000-05-19,979.76
2000-05-22,983.9
2000-05-23,983.49
2000-05-24,982.6
2000-05-25,987.66
2000-05-26,990.35
2000-05-30,988.56
2000-05-31,993.06
2000-06-01,997.54
2000-06-02,999.88
2000-06-05,1002.27
2000-06-06,1001.8
2000-06-07,1002.81
2000-06-08,1003.5
2000-06-09,1003.16
2000-06-12,1005.08
2000-06-13,1002.97
2000-06-14,1006.09
2000-06-15,1005.68
2000-06-16,1009.17
2000-06-19,1008.44
2000-06-20,1007.6
2000-06-21,1003.8
2000-06-22,1003.44
2000-06-23,1000.52
2000-06-26,1004.48
2000-06-27,1005.67
2000-06-28,1004.75
2000-06-29,1009.7
2000-06-30,1009.8
2000-07-03,1012.48
2000-07-05,1013.44
2000-07-06,1010.77
2000-07-07,1013.38
2000-07-10,1012.97
2000-07-11,1012.77
2000-07-12,1012.27
2000-07-13,1016.62
2000-07-14,1011.85
2000-07-17,1009.4
2000-07-18,1009.76
2000-07-19,1009.76
2000-07-20,1017.91
2000-07-21,1018.93
2000-07-24,1017.91
2000-07-25,1018.65
2000-07-26,1018.49
2000-07-27,1020.88
2000-07-28,1019.98
2000-07-31,1020.2
2000-08-01,1022.52
2000-08-02,1023.47
2000-08-03,1025.08
2000-08-04,1027.41
2000-08-07,1025.75
2000-08-08,1027.74
2000-08-09,1028.29
2000-08-10,1030.13
2000-08-11,1027.58
2000-08-14,1029.33
2000-08-15,1028.05
2000-08-16,1026.86
2000-08-17,1028.11
2000-08-18,1029.99
2000-08-21,1029.51
2000-08-22,1030.19
2000-08-23,1032.91
2000-08-24,1033.88
2000-08-25,1033.96
2000-08-28,1031.65
2000-08-29,1029.97
2000-08-30,1030.79
2000-08-31,1035.18
2000-09-01,1037.33
2000-09-05,1038.19
2000-09-06,1036.02
2000-09-07,1034.79
2000-09-08,1036.47
2000-09-11,1034.92
2000-09-12,1034.41
2000-09-13,1036.65
2000-09-14,1033.46
2000-09-15,1030.96
2000-09-18,1030.02
2000-09-19,1031.04
2000-09-20,1028.92
2000-09-21,1030.93
2000-09-22,1032.08
2000-09-25,1032.95
2000-09-26,1035.37
2000-09-27,1034.08
2000-09-28,1034.56
2000-09-29,1036
2000-10-02,1034.41
2000-10-03,1033.18
2000-10-04,1032.54
2000-10-05,1034.95
2000-10-06,1037.58
2000-10-10,1039.61
2000-10-11,1040.51
2000-10-12,1043.2
2000-10-13,1043.52
2000-10-16,1042.79
2000-10-17,1046.93
2000-10-18,1047.01
2000-10-19,1047.67
2000-10-20,1049.36
2000-10-23,1052.73
2000-10-24,1050.83
2000-10-25,1048.26
2000-10-26,1048.88
2000-10-27,1047.92
2000-10-30,1047.8
2000-10-31,1046.1
2000-11-01,1047.59
2000-11-02,1047.79
2000-11-03,1043.14
2000-11-06,1041.96
2000-11-07,1042
2000-11-08,1043.04
2000-11-09,1045.63
2000-11-10,1045.43
2000-11-13,1048.25
2000-11-14,1049.4
2000-11-15,1051.97
2000-11-16,1053.74
2000-11-17,1052.31
2000-11-20,1053.87
2000-11-21,1054.82
2000-11-22,1059.84
2000-11-24,1058.2
2000-11-27,1057.73
2000-11-28,1060.16
2000-11-29,1062.45
2000-11-30,1067.54
2000-12-01,1064.39
2000-12-04,1064.51
2000-12-05,1069.79
2000-12-06,1075.06
2000-12-07,1075.84
2000-12-08,1073.72
2000-12-11,1073.64
2000-12-12,1074.48
2000-12-13,1078.63
2000-12-14,1081.72
2000-12-15,1083.42
2000-12-18,1084.26
2000-12-19,1083.04
2000-12-20,1087.38
2000-12-21,1090.45
2000-12-22,1092.12
2000-12-26,1091.58
2000-12-27,1088.24
2000-12-28,1087.65
2000-12-29,1087.91
2001-01-02,1099.3
2001-01-03,1089.3
2001-01-04,1095.18
2001-01-05,1100.13
2001-01-08,1101.9
2001-01-09,1098.86
2001-01-10,1093.97
2001-01-11,1090.89
2001-01-12,1085.17
2001-01-16,1087.18
2001-01-17,1092.06
2001-01-18,1097.15
2001-01-19,1092.17
2001-01-22,1089.86
2001-01-23,1086.45
2001-01-24,1085.59
2001-01-25,1088.11
2001-01-26,1088.05
2001-01-29,1087.14
2001-01-30,1092.46
2001-01-31,1096.76
2001-02-01,1102.28
2001-02-02,1097.72
2001-02-05,1098.97
2001-02-06,1096.74
2001-02-07,1097.36
2001-02-08,1097.16
2001-02-09,1101.14
2001-02-12,1099.11
2001-02-13,1097.79
2001-02-14,1095.76
2001-02-15,1091.69
2001-02-16,1096.15
2001-02-20,1097.14
2001-02-21,1095.14
2001-02-22,1095.5
2001-02-23,1099.36
2001-02-26,1102.53
2001-02-27,1108.06
2001-02-28,1110.02
2001-03-01,1113.29
2001-03-02,1107.25
2001-03-05,1107.51
2001-03-06,1106.96
2001-03-07,1111.39
2001-03-08,1112.89
2001-03-09,1111.02
2001-03-12,1112.37
2001-03-13,1111.4
2001-03-14,1116.57
2001-03-15,1118.68
2001-03-16,1120.79
2001-03-19,1118.11
2001-03-20,1120.64
2001-03-21,1121.58
2001-03-22,1125.18
2001-03-23,1120.63
2001-03-26,1117.97
2001-03-27,1110.18
2001-03-28,1110.47
2001-03-29,1111.04
2001-03-30,1113.58
2001-04-02,1112.26
2001-04-03,1114.03
2001-04-04,1114.78
2001-04-05,1112.5
2001-04-06,1118.79
2001-04-09,1116.77
2001-04-10,1107.79
2001-04-11,1106.75
2001-04-12,1104.88
2001-04-16,1098.48
2001-04-17,1103.28
2001-04-18,1107.05
2001-04-19,1099.96
2001-04-20,1100.08
2001-04-23,1105.34
2001-04-24,1104.46
2001-04-25,1101.73
2001-04-26,1106.31
2001-04-27,1098.95
2001-04-30,1099.74
2001-05-01,1102.61
2001-05-02,1104.13
2001-05-03,1109.11
2001-05-04,1110.23
2001-05-07,1109.92
2001-05-08,1108.76
2001-05-09,1111.6
2001-05-10,1105.53
2001-05-11,1094.69
2001-05-14,1098.14
2001-05-15,1095.79
2001-05-16,1097.82
2001-05-17,1099.4
2001-05-18,1100.44
2001-05-21,1101.16
2001-05-22,1100.89
2001-05-23,1100.88
2001-05-24,1096.14
2001-05-25,1096.48
2001-05-29,1096.68
2001-05-30,1097.11
2001-05-31,1103.17
2001-06-01,1105.97
2001-06-04,1107.89
2001-06-05,1111.16
2001-06-06,1111.22
2001-06-07,1108.68
2001-06-08,1106.84
2001-06-11,1110.48
2001-06-12,1113.42
2001-06-13,1113.54
2001-06-14,1115.94
2001-06-15,1114.83
2001-06-18,1115.25
2001-06-19,1116.04
2001-06-20,1117.78
2001-06-21,1119.22
2001-06-22,1123.97
2001-06-25,1123.4
2001-06-26,1118.79
2001-06-27,1118.05
2001-06-28,1112.88
2001-06-29,1109.09
2001-07-02,1113.19
2001-07-03,1110.6
2001-07-05,1108.87
2001-07-06,1111.71
2001-07-09,1114.26
2001-07-10,1117.43
2001-07-11,1116.76
2001-07-12,1119.82
2001-07-13,1120.03
2001-07-16,1123.57
2001-07-17,1123.96
2001-07-18,1130.2
2001-07-19,1129.21
2001-07-20,1128.78
2001-07-23,1130.33
2001-07-24,1131.65
2001-07-25,1127.8
2001-07-26,1128.5
2001-07-27,1132.11
2001-07-30,1134.2
2001-07-31,1136.76
2001-08-01,1135.13
2001-08-02,1131.34
2001-08-03,1130.52
2001-08-06,1131.05
2001-08-07,1130.84
2001-08-08,1137.36
2001-08-09,1135.94
2001-08-10,1138.1
2001-08-13,1139.86
2001-08-14,1139.34
2001-08-15,1138.07
