,NAPMNEWO Index
DATE,px_last
2011-12-31,55.4
2012-01-31,60
2012-02-29,58.3
2012-03-31,57
2012-04-30,59.2
2012-05-31,58.2
2012-06-30,47.3
2012-07-31,47.8
2012-08-31,45.1
2012-09-30,52.2
2012-10-31,51.8
2012-11-30,47.9
2012-12-31,48.3
2013-01-31,54.9
2013-02-28,58.9
2013-03-31,52.3
2013-04-30,53
2013-05-31,52.1
2013-06-30,52
2013-07-31,56.4
2013-08-31,58
2013-09-30,60.2
2013-10-31,57.4
2013-11-30,59.5
2013-12-31,63.9
2014-01-31,54.6
2014-02-28,58.6
2014-03-31,58.8
2014-04-30,57.3
2014-05-31,57.9
2014-06-30,56.8
2014-07-31,57.4
2014-08-31,60.1
2014-09-30,58.9
2014-10-31,59.8
2014-11-30,61.6
2014-12-31,58.2
2015-01-31,54.7
2015-02-28,54.3
2015-03-31,53.1
2015-04-30,53.7
2015-05-31,52.8
2015-06-30,53.8
2015-07-31,52.6
2015-08-31,51.2
2015-09-30,50.2
2015-10-31,51.7
2015-11-30,50.6
2015-12-31,49.5
2016-01-31,49.6
2016-02-29,52.4
2016-03-31,55.4
2016-04-30,54.8
2016-05-31,55.4
2016-06-30,56.9
2016-07-31,55.3
2016-08-31,50.9
2016-09-30,53.4
2016-10-31,54.3
2016-11-30,55.4
2016-12-31,58.6
2017-01-31,60
2017-02-28,64.1
2017-03-31,62
2017-04-30,57.4
2017-05-31,61.6
2017-06-30,60.3
2017-07-31,61.6
2017-08-31,60.9
2017-09-30,64.2
2017-10-31,64
2017-11-30,64
2017-12-31,65.7
2018-01-31,66.2
2018-02-28,64.1
2018-03-31,61.7
2018-04-30,63.2
2018-05-31,63.2
2018-06-30,63.5
2018-07-31,59.8
2018-08-31,63.6
2018-09-30,61.9
2018-10-31,59.3
2018-11-30,60.7
2018-12-31,52.4
2019-01-31,56.7
2019-02-28,54.9
2019-03-31,56.5
2019-04-30,53.5
2019-05-31,52.5
2019-06-30,50.7
2019-07-31,51.2
2019-08-31,46.3
2019-09-30,48.7
2019-10-31,48.5
2019-11-30,47
2019-12-31,47.5
2020-01-31,51.8
2020-02-29,49.5
2020-03-31,43.2
2020-04-30,27.3
2020-05-31,31.9
2020-06-30,56.7
2020-07-31,60.9
